sourceText,text,level,part,translation,exampleJa,exampleEn,status,issues,notes
donate,donate,1,1,(金品を)寄付する,,Many people donated clothes after the fire.,ready,,matched_existing_exact
lessen,lessen,1,1,減らす / 和らげる,その薬は痛みを和らげるのに役立った。,The medicine helped lessen the pain.,ready,,curated_batch03
manufacture,manufacture,1,1,(製品を)製造する,,The factory manufactures medical equipment.,ready,,matched_existing_exact
commute,commute,1,1,通勤する / 通学する,彼は毎日一時間かけて東京まで通勤している。,He commutes to Tokyo for an hour every day.,ready,,curated_batch03
exaggerate,exaggerate,1,1,誇張する,問題を必要以上に誇張しないようにしよう。,Let us not exaggerate the problem more than necessary.,ready,,curated_batch03
suspect,suspect,1,1,疑う / 容疑者,警察はその火事が放火ではないかと疑っている。,The police suspect that the fire was caused on purpose.,ready,,curated_batch03
acquire,acquire,1,1,(知識や技能を)身につける,,He acquired new skills abroad.,ready,,matched_existing_exact
reintroduce,reintroduce,1,1,再導入する / 戻す,その学校は来年、土曜授業を再導入する予定だ。,The school plans to reintroduce Saturday classes next year.,ready,,curated_batch03
reschedule,reschedule,1,1,予定を変更する,台風のため、会議は来週に変更された。,The meeting was rescheduled for next week because of the typhoon.,ready,,curated_batch03
adapt,adapt,1,1,(環境に)適応する,,Animals must adapt to changing environments.,ready,,matched_existing_exact
generate,generate,1,1,(新しいものを)生み出す,,The campaign generated a lot of interest.,ready,,matched_existing_exact
guarantee,guarantee,1,1,(結果を)保証する,,The store cannot guarantee delivery by Friday.,ready,,matched_existing_exact
dump,dump,1,1,投棄する / 捨てる,その工場は川にごみを捨ててはいけない。,The factory must not dump waste into the river.,ready,,curated_batch03
classify,classify,1,1,分類する,研究者たちはその植物を種類ごとに分類した。,The researchers classified the plants by type.,ready,,curated_batch03
acknowledge,acknowledge,1,1,(事実として)認める,,She acknowledged the mistake.,ready,,matched_existing_exact
enforce,enforce,1,1,施行する / 守らせる,市は新しい駐車規則を厳しく施行した。,The city strictly enforced the new parking rules.,ready,,curated_batch03
renew,renew,1,1,更新する / 再開する,彼は今月、運転免許を更新しなければならない。,He has to renew his driver's license this month.,ready,,curated_batch03
overlook,overlook,1,1,見落とす,忙しいときでも、小さなミスを見落としてはいけない。,We must not overlook small mistakes even when we are busy.,ready,,curated_batch03
evaluate,evaluate,1,1,(結果や効果を)評価する,,The panel will evaluate the proposals.,ready,,matched_existing_exact
argument,argument,1,1,議論 / 口論,二人の間の口論はすぐに終わった。,The argument between the two people ended quickly.,ready,,curated_batch03
archaeologist,archaeologist,1,1,考古学者,その考古学者は砂漠で古代の都市跡を発見した。,The archaeologist discovered the remains of an ancient city in the desert.,ready,,curated_batch03
reputation,reputation,1,1,評判 / 名声,その店は丁寧なサービスで良い評判を得ている。,The store has a good reputation for careful service.,ready,,curated_batch03
fossil,fossil,1,1,化石,その博物館には恐竜の化石が展示されている。,The museum displays fossils of dinosaurs.,ready,,curated_batch04
status,status,1,1,地位 / 状況,患者の容体について最新の状況が報告された。,The latest status of the patient was reported.,ready,,curated_batch04
contrast,contrast,1,1,対照 / 対比,都会と地方の生活の対比はとても興味深い。,The contrast between urban and rural life is very interesting.,ready,,curated_batch04
workplace,workplace,1,1,職場,安全な職場を作ることは会社の責任だ。,It is a company's duty to create a safe workplace.,ready,,curated_batch04
equality,equality,1,1,平等,その法律は教育の機会の平等を目指している。,The law aims to ensure equality in educational opportunity.,ready,,curated_batch04
colleague,colleague,1,1,同僚,彼女は同僚と協力して新しい企画を仕上げた。,She worked with her colleagues to finish the new project.,ready,,curated_batch04
assistance,assistance,1,1,援助 / 支援,高齢者には買い物の支援が必要な場合がある。,Older people may need assistance with shopping.,ready,,curated_batch04
luxury,luxury,1,1,ぜいたく / 高級品,当時、電話は一部の人にとってぜいたく品だった。,"At that time, a telephone was a luxury for some people.",ready,,curated_batch04
outbreak,outbreak,1,1,発生 / 勃発,感染症の発生を受けて学校は一時閉鎖された。,The school was closed temporarily after the outbreak of the disease.,ready,,curated_batch04
council,council,1,1,評議会 / 協議会,市議会は新しい予算案について話し合った。,The city council discussed the new budget plan.,ready,,curated_batch04
pottery,pottery,1,1,陶器 / 陶芸,その地域は伝統的な陶器づくりで知られている。,The region is known for its traditional pottery.,ready,,curated_batch04
assignment,assignment,1,1,課題 / 割り当て,先生は月曜日までに提出する課題を出した。,The teacher gave us an assignment due on Monday.,ready,,curated_batch04
particle,particle,1,1,粒子,その機械は空気中の細かい粒子を取り除くことができる。,The machine can remove tiny particles from the air.,ready,,curated_batch04
radiation,radiation,1,1,放射線,その研究所では放射線の安全管理が厳しく行われている。,Radiation safety is strictly managed at the laboratory.,ready,,curated_batch04
priority,priority,1,1,(先に扱うべき)優先事項,,Safety is our top priority.,ready,,matched_existing_exact
destination,destination,1,1,目的地,その列車は予定より遅れて目的地に着いた。,The train reached its destination later than scheduled.,ready,,curated_batch04
mine,mine,1,1,鉱山,,The old mine closed many years ago.,ready,,curated_batch43
injury,injury,1,1,けが / 負傷,その選手はひざのけがから回復しつつある。,The player is recovering from a knee injury.,ready,,curated_batch04
lottery,lottery,1,1,宝くじ / 抽選,その人気公演のチケットは抽選で販売された。,Tickets for the popular show were sold by lottery.,ready,,curated_batch04
feature,feature,1,1,特徴 / 機能,このアプリの便利な機能の一つは音声検索だ。,One useful feature of this app is voice search.,ready,,curated_batch04
diabetes,diabetes,1,1,糖尿病,運動と食事管理は糖尿病の予防に役立つ。,Exercise and diet control help prevent diabetes.,ready,,curated_batch04
bulb,bulb,1,1,電球,廊下の電球が切れていたので交換した。,We replaced the bulb in the hallway.,ready,,curated_batch04
résumé,resume,1,1,職務経歴書 / 履歴書,,She updated her resume before the interview.,ready,,curated_batch43|allow_duplicate_text
mud,mud,1,1,泥,大雨の後で道は深い泥に覆われていた。,The road was covered with deep mud after the heavy rain.,ready,,curated_batch04
psychology,psychology,1,1,心理学,彼女は大学で発達心理学を学んでいる。,She studies developmental psychology at university.,ready,,curated_batch04
corporation,corporation,1,1,企業 / 法人,その企業は海外にも多くの支社を持っている。,The corporation has many branches overseas.,ready,,curated_batch04
ecosystem,ecosystem,1,1,生態系,その湖の生態系は外来種の影響を受けている。,The lake's ecosystem is affected by invasive species.,ready,,curated_batch04
promotion,promotion,1,1,昇進 / 販売促進,彼は長年の努力の末に昇進した。,He earned a promotion after years of hard work.,ready,,curated_batch04
administration,administration,1,1,運営 / 行政,学校の運営には多くの人の協力が必要だ。,The administration of a school requires the help of many people.,ready,,curated_batch04
complaint,complaint,1,1,苦情 / 不満,店にはサービスに関する苦情が数件寄せられた。,The store received several complaints about its service.,ready,,curated_batch04
debt,debt,1,1,借金 / 負債,その会社は多額の借金を抱えていた。,The company was burdened with a large debt.,ready,,curated_batch04
requirement,requirement,1,1,必要条件 / 要件,応募する前に必要条件をよく確認してください。,Please check the requirements carefully before applying.,ready,,curated_batch04
workforce,workforce,1,1,労働力 / 全従業員,その会社は海外で労働力を拡大している。,The company is expanding its workforce overseas.,ready,,curated_batch04
preference,preference,1,1,好み / 選好,食べ物の好みは人によって大きく異なる。,Food preferences vary greatly from person to person.,ready,,curated_batch04
refugee,refugee,1,1,難民,その国は多くの難民を受け入れる準備を進めている。,The country is preparing to accept many refugees.,ready,,curated_batch04
inhabitant,inhabitant,1,1,住民 / 居住者,その島の住民は昔から漁業で暮らしてきた。,The inhabitants of the island have long lived by fishing.,ready,,curated_batch04
subscription,subscription,1,1,購読 / 定期契約,その動画サービスの定期契約を更新した。,I renewed my subscription to the video service.,ready,,curated_batch04
recipient,recipient,1,1,受取人 / 受領者,その賞の受賞者は来週発表される。,The recipient of the award will be announced next week.,ready,,curated_batch04
shift,shift,1,1,変化 / 交代勤務,消費者の考え方に大きな変化が起きている。,A major shift is taking place in consumer attitudes.,ready,,curated_batch04
vessel,vessel,1,1,船舶 / 容器,その船舶は夜明け前に港を出た。,The vessel left the port before dawn.,ready,,curated_batch04
ingredient,ingredient,1,1,(料理や製品の)材料,,Sugar is the main ingredient.,ready,,matched_existing_exact
qualified,qualified,1,1,資格のある / 適任の,この仕事には経験のある資格を持った人が必要だ。,This job requires a qualified person with experience.,ready,,curated_batch04
widespread,widespread,1,1,広範囲にわたる / 広く普及した,その制度改革は社会に広範囲な影響を与えた。,The reform had a widespread impact on society.,ready,,curated_batch04
alternative,alternative,1,1,代わりのもの / 代替案,電車が止まったので、私たちは別の移動手段を探した。,"When the trains stopped, we looked for an alternative.",ready,,curated_batch04
harsh,harsh,1,1,厳しい / 過酷な,その地域の冬はとても厳しく、雪も深い。,Winter in the region is harsh and snowy.,ready,,curated_batch05
enormous,enormous,1,1,(規模が)莫大な,,The stadium was built at enormous cost.,ready,,matched_existing_exact
specific,specific,1,1,具体的な / 特定の,その先生は改善点について具体的な助言をくれた。,The teacher gave us specific advice on how to improve.,ready,,curated_batch05
artificial,artificial,1,1,人工の,その湖は自然のものではなく人工の池だ。,The lake is not natural but artificial.,ready,,curated_batch05
toxic,toxic,1,1,有毒な,その工場から出た有毒な物質が問題になった。,Toxic substances from the factory became a serious problem.,ready,,curated_batch05
flexible,flexible,1,1,(状況に応じて)柔軟な,,My schedule is flexible this week.,ready,,matched_existing_exact
latest,latest,1,1,最新の,彼は最新の研究結果を会議で紹介した。,He presented the latest research findings at the meeting.,ready,,curated_batch05
capable,capable,1,1,能力がある,彼女は難しい課題にも対応できる能力がある。,She is capable of handling difficult tasks.,ready,,curated_batch05
practical,practical,1,1,実用的な / 現実的な,その研修では実用的な英語表現を学べる。,The training teaches practical English expressions.,ready,,curated_batch05
mechanical,mechanical,1,1,機械の / 機械的な,その事故は機械の故障が原因だった。,The accident was caused by a mechanical failure.,ready,,curated_batch05
adequate,adequate,1,1,(必要な基準を満たして)十分な,,The food supply was adequate.,ready,,matched_existing_exact
unexpected,unexpected,1,1,予想外の,会議では予想外の質問がいくつも出た。,Several unexpected questions came up at the meeting.,ready,,curated_batch05
sufficient,sufficient,1,1,十分な,安全に登山するには十分な食料が必要だ。,Sufficient food is necessary for safe climbing.,ready,,curated_batch05
